id,type,category,source,description,status
TODO-31276,todo_md,Master TODO,master/todo.md,Add fluid temperature system affecting flow rate and behavior. (line 13) (src/game/blockgame/block/liquid_blocks.c),completed
TODO-31271,todo_md,Master TODO,master/todo.md,Implement light level debugging visualization. (line 11) (src/game/blockgame/block/lighting.c),completed
TODO-31270,todo_md,Master TODO,master/todo.md,Add light level preview system for creative mode. (line 10) (src/game/blockgame/block/lighting.c),completed
TODO-31262,todo_md,Master TODO,master/todo.md,Implement despawning NPCs that are too far from players (line 57) (src/game/blockgame/npc/npc_system.c),completed
TODO-31261,todo_md,Master TODO,master/todo.md,Implement procedural NPC spawning based on biomes and world (line 50) (src/game/blockgame/npc/npc_system.c),completed
TODO-31257,todo_md,Master TODO,master/todo.md,Add ore generation profiling system. (line 11) (src/game/blockgame/ore/ore_generation.c),completed
TODO-31245,todo_md,Master TODO,master/todo.md,Add recipe search and filtering system. (line 8) (src/game/blockgame/crafting/recipe.c),completed
TODO-31244,todo_md,Master TODO,master/todo.md,Implement recipe unlock system through progression. (line 7) (src/game/blockgame/crafting/recipe.c),completed
TODO-31243,todo_md,Master TODO,master/todo.md,Add recipe difficulty system affecting crafting time. (line 6) (src/game/blockgame/crafting/recipe.c),completed
TODO-31242,todo_md,Master TODO,master/todo.md,Implement recipe substitution system for similar ingredients. (line 5) (src/game/blockgame/crafting/recipe.c),completed
TODO-31241,todo_md,Master TODO,master/todo.md,Add recipe priority system for conflict resolution. (line 4) (src/game/blockgame/crafting/recipe.c),completed
TODO-31240,todo_md,Master TODO,master/todo.md,Implement recipe validation system for invalid combinations. (line 3) (src/game/blockgame/crafting/recipe.c),completed
TODO-31238,todo_md,Master TODO,master/todo.md,Add processing UI system for monitoring progress. (line 11) (src/game/blockgame/crafting/resource_processing.c),completed
TODO-31234,todo_md,Master TODO,master/todo.md,Add processing recipe discovery system. (line 7) (src/game/blockgame/crafting/resource_processing.c),completed
TODO-31232,todo_md,Master TODO,master/todo.md,Add processing failure chance system for risk. (line 5) (src/game/blockgame/crafting/resource_processing.c),completed
TODO-31231,todo_md,Master TODO,master/todo.md,Implement processing quality system affecting output. (line 4) (src/game/blockgame/crafting/resource_processing.c),completed
TODO-31230,todo_md,Master TODO,master/todo.md,Add processing efficiency system based on machine upgrades. (line 3) (src/game/blockgame/crafting/resource_processing.c),completed
TODO-31228,todo_md,Master TODO,master/todo.md,Implement crafting skill system affecting success rates. (line 11) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31227,todo_md,Master TODO,master/todo.md,Add crafting time system for complex recipes. (line 10) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31226,todo_md,Master TODO,master/todo.md,Implement crafting material substitution system. (line 9) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31224,todo_md,Master TODO,master/todo.md,Implement crafting automation system with machines. (line 7) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31223,todo_md,Master TODO,master/todo.md,Add crafting failure chance system for risk/reward. (line 6) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31222,todo_md,Master TODO,master/todo.md,Implement crafting quality system affecting output properties. (line 5) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31221,todo_md,Master TODO,master/todo.md,Add crafting station upgrade system for better recipes. (line 4) (src/game/blockgame/crafting/advanced_crafting.c),completed
TODO-31219,todo_md,Master TODO,master/todo.md,Add enchanting animation system for table interactions. (line 14) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31218,todo_md,Master TODO,master/todo.md,Implement enchantment rarity system affecting availability. (line 13) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31217,todo_md,Master TODO,master/todo.md,Add enchanting preview system before applying. (line 12) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31215,todo_md,Master TODO,master/todo.md,Add enchantment book system for storing enchantments. (line 10) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31214,todo_md,Master TODO,master/todo.md,Implement enchantment removal system with grindstone. (line 9) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31213,todo_md,Master TODO,master/todo.md,Add enchantment combination system for synergies. (line 8) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31211,todo_md,Master TODO,master/todo.md,Add enchanting level requirement system. (line 6) (src/game/blockgame/crafting/enchanting.c),completed
TODO-31210,todo_md,Master TODO,master/todo.md,"Implement enchanting table visual effects (glyphs, particles). (line 5) (src/game/blockgame/crafting/enchanting.c)",completed
TODO-31209,todo_md,Master TODO,master/todo.md,Add default recipes with proper block IDs (line 226) (src/game/blockgame/crafting/recipe_system.c),completed
TODO-31208,todo_md,Master TODO,master/todo.md,Implement proper shaped/shapeless recipe matching (line 133) (src/game/blockgame/crafting/recipe_system.c),completed
TODO-31207,todo_md,Master TODO,master/todo.md,Implement persistent crafting statistics (line 26) (src/game/blockgame/crafting/recipe_system.c),completed
TODO-31206,todo_md,Master TODO,master/todo.md,Add brewing failure system with negative effects. (line 13) (src/game/blockgame/crafting/brewing.c),completed
TODO-31204,todo_md,Master TODO,master/todo.md,Add brewing automation system with redstone. (line 11) (src/game/blockgame/crafting/brewing.c),completed
TODO-31202,todo_md,Master TODO,master/todo.md,Add potion bottle system with different container types. (line 9) (src/game/blockgame/crafting/brewing.c),completed
