File Path,Description,Lines of Code,System,Subsystem
Engine/Core/Engine.c,"Main engine loop and initialization (50,000 LOC)",50000,Core Engine,Engine.c
Engine/Core/Engine.h,"Engine API definitions (10,000 LOC)",10000,Core Engine,Engine.h
Engine/Core/Types/Core_Types.c,"Core type implementations (10,000 LOC)",10000,Core Engine,Types
Engine/Core/Types/Core_Types.h,"Core type definitions (5,000 LOC)",5000,Core Engine,Types
Engine/Core/Types/Math_Types.c,"Mathematical type implementations (15,000 LOC)",15000,Core Engine,Types
Engine/Core/Types/Math_Types.h,"Mathematical type definitions (8,000 LOC)",8000,Core Engine,Types
Engine/Core/Assert/Assert_System.c,"Assertion system implementation (20,000 LOC)",20000,Core Engine,Assert
Engine/Core/Assert/Assert_System.h,"Assertion system API (5,000 LOC)",5000,Core Engine,Assert
Engine/Core/Assert/Assert_Handlers.c,"Custom assertion handlers (5,000 LOC)",5000,Core Engine,Assert
Engine/Core/Log/Log_System.c,"Logging system core (25,000 LOC)",25000,Core Engine,Log
Engine/Core/Log/Log_System.h,"Logging system API (5,000 LOC)",5000,Core Engine,Log
Engine/Core/Log/Log_Sinks.c,"Log output sinks (10,000 LOC)",10000,Core Engine,Log
Engine/Core/Log/Log_Formatters.c,"Log formatters (5,000 LOC)",5000,Core Engine,Log
Engine/Core/Log/Log_Filters.c,"Log filters (3,000 LOC)",3000,Core Engine,Log
Engine/Core/Config/Config_System.c,"Configuration management (30,000 LOC)",30000,Core Engine,Config
Engine/Core/Config/Config_Parser.c,"Configuration parsing (20,000 LOC)",20000,Core Engine,Config
Engine/Core/Config/Config_Validator.c,"Configuration validation (10,000 LOC)",10000,Core Engine,Config
Engine/Core/Module/Module_System.c,"Module system core (40,000 LOC)",40000,Core Engine,Module
Engine/Core/Module/Module_Loader.c,"Dynamic module loading (25,000 LOC)",25000,Core Engine,Module
Engine/Core/Module/Module_Registry.c,"Module registry (15,000 LOC)",15000,Core Engine,Module
Engine/Core/Utils/Utils_String.c,"String operations (50,000 LOC)",50000,Core Engine,Utils
Engine/Core/Utils/Utils_Memory.c,"Memory utilities (40,000 LOC)",40000,Core Engine,Utils
Engine/Core/Utils/Utils_File.c,"File operations (60,000 LOC)",60000,Core Engine,Utils
Engine/Core/Utils/Utils_Crypto.c,"Cryptographic functions (45,000 LOC)",45000,Core Engine,Utils
Engine/Core/Utils/Utils_Compression.c,"Compression algorithms (30,000 LOC)",30000,Core Engine,Utils
Engine/Core/Utils/Utils_Encoding.c,"Data encoding/decoding (35,000 LOC)",35000,Core Engine,Utils
Engine/Core/Utils/Utils_Hash.c,"Hashing algorithms (25,000 LOC)",25000,Core Engine,Utils
Engine/Core/Utils/Utils_Time.c,"Time utilities (20,000 LOC)",20000,Core Engine,Utils
Engine/Core/Utils/Utils_UUID.c,"UUID generation (15,000 LOC)",15000,Core Engine,Utils
Engine/Memory/Allocators/Arena_Allocator.c,"Arena memory allocator (50,000 LOC)",50000,Core Engine,Allocators
Engine/Memory/Allocators/Pool_Allocator.c,"Memory pool allocator (60,000 LOC)",60000,Core Engine,Allocators
Engine/Memory/Allocators/Stack_Allocator.c,"Stack allocator (40,000 LOC)",40000,Core Engine,Allocators
Engine/Memory/Allocators/Heap_Allocator.c,"Heap allocator (80,000 LOC)",80000,Core Engine,Allocators
Engine/Memory/Allocators/TLSF_Allocator.c,"Two-level segregated fit (70,000 LOC)",70000,Core Engine,Allocators
Engine/Memory/Allocators/Buddy_Allocator.c,"Buddy system allocator (60,000 LOC)",60000,Core Engine,Allocators
Engine/Memory/Allocators/Slab_Allocator.c,"Slab allocator (40,000 LOC)",40000,Core Engine,Allocators
Engine/Memory/Allocators/Region_Allocator.c,"Region allocator (30,000 LOC)",30000,Core Engine,Allocators
Engine/Memory/Allocators/Malloc_Allocator.c,"Malloc wrapper (20,000 LOC)",20000,Core Engine,Allocators
Engine/Memory/Allocators/Virtual_Memory.c,"Virtual memory management (50,000 LOC)",50000,Core Engine,Allocators
Engine/Memory/Allocators/Memory_Mapping.c,"Memory mapping (40,000 LOC)",40000,Core Engine,Allocators
Engine/Memory/Tracking/Memory_Tracker.c,"Memory usage tracking (80,000 LOC)",80000,Core Engine,Tracking
Engine/Memory/Tracking/Memory_Profiler.c,"Memory profiling (70,000 LOC)",70000,Core Engine,Tracking
Engine/Memory/Tracking/Memory_Leak_Detector.c,"Memory leak detection (50,000 LOC)",50000,Core Engine,Tracking
Engine/Memory/Tracking/Memory_Statistics.c,"Memory statistics (30,000 LOC)",30000,Core Engine,Tracking
Engine/Memory/Debugging/Memory_Debug.c,"Debug memory allocator (60,000 LOC)",60000,Core Engine,Debugging
Engine/Memory/Debugging/Memory_Scrubbing.c,"Memory scrubbing (30,000 LOC)",30000,Core Engine,Debugging
Engine/Memory/Debugging/Memory_Poisoning.c,"Memory poisoning (30,000 LOC)",30000,Core Engine,Debugging
Engine/Memory/Debugging/Memory_Pattern.c,"Memory pattern detection (20,000 LOC)",20000,Core Engine,Debugging
Engine/Memory/Management/Memory_Manager.c,"Global memory manager (40,000 LOC)",40000,Core Engine,Management
Engine/Memory/Management/Memory_Context.c,"Memory contexts (25,000 LOC)",25000,Core Engine,Management
Engine/Memory/Management/Memory_Stats.c,"Memory statistics (15,000 LOC)",15000,Core Engine,Management
Engine/Threading/Jobs/Job_System.c,"Job scheduler (80,000 LOC)",80000,Core Engine,Jobs
Engine/Threading/Jobs/Job_Queue.c,"Job queues (60,000 LOC)",60000,Core Engine,Jobs
Engine/Threading/Jobs/Job_Worker.c,"Worker threads (40,000 LOC)",40000,Core Engine,Jobs
Engine/Threading/Jobs/Job_Stealing.c,"Work stealing (20,000 LOC)",20000,Core Engine,Jobs
Engine/Threading/Jobs/Job_Graph.c,"Job dependency graphs (30,000 LOC)",30000,Core Engine,Jobs
Engine/Threading/Jobs/Job_Priority.c,"Job priority system (25,000 LOC)",25000,Core Engine,Jobs
Engine/Threading/Jobs/Job_Scheduler.c,"Job scheduling algorithms (35,000 LOC)",35000,Core Engine,Jobs
Engine/Threading/Tasks/Task_System.c,"Task scheduler (70,000 LOC)",70000,Core Engine,Tasks
Engine/Threading/Tasks/Task_Graph.c,"Task dependency graphs (50,000 LOC)",50000,Core Engine,Tasks
Engine/Threading/Tasks/Task_Dependencies.c,"Task dependencies (30,000 LOC)",30000,Core Engine,Tasks
Engine/Threading/Tasks/Task_Parallel.c,"Parallel task execution (40,000 LOC)",40000,Core Engine,Tasks
Engine/Threading/Fibers/Fiber_System.c,"Fiber scheduler (50,000 LOC)",50000,Core Engine,Fibers
Engine/Threading/Fibers/Fiber_Context.c,"Fiber contexts (30,000 LOC)",30000,Core Engine,Fibers
Engine/Threading/Fibers/Fiber_Pool.c,"Fiber pools (20,000 LOC)",20000,Core Engine,Fibers
Engine/Threading/Fibers/Fiber_Switch.c,"Fiber switching (15,000 LOC)",15000,Core Engine,Fibers
Engine/Threading/Synchronization/Mutex.c,"Mutex implementation (25,000 LOC)",25000,Core Engine,Synchronization
Engine/Threading/Synchronization/Semaphore.c,"Semaphore implementation (20,000 LOC)",20000,Core Engine,Synchronization
Engine/Threading/Synchronization/Condition.c,"Condition variables (20,000 LOC)",20000,Core Engine,Synchronization
Engine/Threading/Synchronization/RWLock.c,"Read-write locks (20,000 LOC)",20000,Core Engine,Synchronization
Engine/Threading/Synchronization/Barrier.c,"Thread barriers (15,000 LOC)",15000,Core Engine,Synchronization
Engine/Threading/Synchronization/Event.c,"Synchronization events (15,000 LOC)",15000,Core Engine,Synchronization
Engine/Threading/Synchronization/Futex.c,"Futex implementation (15,000 LOC)",15000,Core Engine,Synchronization
Engine/Threading/Atomics/Atomic_Operations.c,"Atomic operations (30,000 LOC)",30000,Core Engine,Atomics
Engine/Threading/Atomics/Atomic_Queue.c,"Atomic queues (20,000 LOC)",20000,Core Engine,Atomics
Engine/Threading/Atomics/Atomic_Stack.c,"Atomic stacks (15,000 LOC)",15000,Core Engine,Atomics
Engine/Threading/Atomics/Atomic_Hash.c,"Atomic hash tables (20,000 LOC)",20000,Core Engine,Atomics
Engine/ECS/Core/ECS_Entity.c,"Entity management and lifecycle (100,000 LOC)",100000,ECS,Core
Engine/ECS/Core/ECS_Entity.h,"Entity API definitions (20,000 LOC)",20000,ECS,Core
Engine/ECS/Core/ECS_Component.c,"Component system management (120,000 LOC)",120000,ECS,Core
Engine/ECS/Core/ECS_Component.h,"Component API definitions (25,000 LOC)",25000,ECS,Core
Engine/ECS/Core/ECS_System.c,"System execution and scheduling (100,000 LOC)",100000,ECS,Core
Engine/ECS/Core/ECS_System.h,"System API definitions (20,000 LOC)",20000,ECS,Core
Engine/ECS/Core/ECS_World.c,"World management and coordination (80,000 LOC)",80000,ECS,Core
Engine/ECS/Core/ECS_World.h,"World API definitions (15,000 LOC)",15000,ECS,Core
Engine/ECS/Core/ECS_Query.c,"Entity query system (60,000 LOC)",60000,ECS,Core
